stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Mills Park,12/4/2024,341.8,34
Citizen's Convenience Center,17/4/2024,579.4,58
Mills Park,26/4/2024,632.8,63
Citizen's Convenience Center,6/5/2024,1147,115
Citizen's Convenience Center,8/5/2024,578.4,58
Citizen's Convenience Center,10/5/2024,526.4,53
Citizen's Convenience Center,20/5/2024,928,93
Mills Park,28/5/2024,758.8,76
Mills Park,3/6/2024,734.8,73
Mills Park,12/6/2024,466.8,47
Mills Park,14/6/2024,457.8,46
Mills Park,19/6/2024,395.8,40
Mills Park,1/7/2024,534.8,53
Mills Park,5/7/2024,471.8,47
Citizen's Convenience Center,17/7/2024,518.8,52
Mills Park,17/7/2024,337.8,34
Citizen's Convenience Center,26/7/2024,540.6,54
Citizen's Convenience Center,29/7/2024,1519,152
Mills Park,7/8/2024,527.8,53
Citizen's Convenience Center,19/8/2024,1267.8,127
Mills Park,21/8/2024,305.8,31
Citizen's Convenience Center,23/8/2024,476.6,48
Citizen's Convenience Center,28/8/2024,983.8,98
Mills Park,28/8/2024,267.8,27
Mills Park,4/9/2024,295.8,30
Mills Park,16/9/2024,481.8,48
Citizen's Convenience Center,13/9/2024,430.6,43
Citizen's Convenience Center,16/9/2024,1067,107
Mills Park,21/10/2024,428.8,43
Mills Park,25/10/2024,296.8,30
Citizen's Convenience Center,14/10/2024,995,100
Citizen's Convenience Center,11/11/2024,541,54
Citizen's Convenience Center,22/11/2024,1156,116
Citizen's Convenience Center,4/12/2024,1111.8,111
Citizen's Convenience Center,13/12/2024,614.4,61
Citizen's Convenience Center,16/12/2024,1107.8,111
Citizen's Convenience Center,31/12/2024,653.2,65
Citizen's Convenience Center,1/11/2024,481.8,48
Mills Park,6/11/2024,505.8,51
Mills Park,8/11/2024,313.8,31
Mills Park,22/11/2024,355.8,36
Mills Park,30/11/2024,775.8,78
Mills Park,4/12/2024,551.8,55
Mills Park,20/12/2024,370.8,37
Mills Park,24/12/2024,536.6,54
Mills Park,30/12/2024,589,59
Mills Park,10/1/2025,617.6,62
Citizen's Convenience Center,10/1/2025,919,92
Citizen's Convenience Center,29/1/2025,499.2,50
Citizen's Convenience Center,5/2/2025,652.4,65
Citizen's Convenience Center,12/2/2025,676.2,68
Citizen's Convenience Center,17/2/2025,1058.8,106
Mills Park,3/2/2025,569.8,57
Mills Park,14/2/2025,286,29
