stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Citizen's Convenience Center,27/6/2022,680.8,68
Citizen's Convenience Center,29/6/2022,574.8,57
Citizen's Convenience Center,25/7/2022,799.8,80
Citizen's Convenience Center,15/8/2022,561.8,56
Citizen's Convenience Center,2/9/2022,535.8,54
Citizen's Convenience Center,5/9/2022,0,0
Citizen's Convenience Center,12/9/2022,977.8,98
Citizen's Convenience Center,14/9/2022,464.8,46
Citizen's Convenience Center,26/9/2022,562.4,56
Citizen's Convenience Center,28/9/2022,372.6,37
Citizen's Convenience Center,7/10/2022,454.8,45
Citizen's Convenience Center,19/10/2022,373.6,37
Citizen's Convenience Center,28/10/2022,713.6,71
Citizen's Convenience Center,4/11/2022,537.6,54
Citizen's Convenience Center,7/11/2022,643.4,64
Citizen's Convenience Center,16/11/2022,504.8,50
Citizen's Convenience Center,21/11/2022,537.4,54
Citizen's Convenience Center,23/11/2022,504.8,50
Citizen's Convenience Center,2/12/2022,760.4,76
Citizen's Convenience Center,9/12/2022,500.6,50
Citizen's Convenience Center,10/12/2022,205.8,21
Citizen's Convenience Center,14/12/2022,694.4,69
Citizen's Convenience Center,13/1/2023,297.4,30
Citizen's Convenience Center,20/2/2023,1012.4,101
Citizen's Convenience Center,24/2/2023,719.6,72
Citizen's Convenience Center,1/3/2023,744.4,74
Citizen's Convenience Center,17/3/2023,402.8,40
Citizen's Convenience Center,29/3/2023,662.4,66
Citizen's Convenience Center,5/4/2023,554.8,55
Citizen's Convenience Center,17/4/2023,1098.4,110
Citizen's Convenience Center,19/4/2023,386.6,39
Citizen's Convenience Center,12/5/2023,727.4,73
Citizen's Convenience Center,12/6/2023,1050.4,105
Citizen's Convenience Center,23/6/2023,783.4,78
Citizen's Convenience Center,12/7/2023,554.8,55
Citizen's Convenience Center,21/7/2023,790.8,79
Citizen's Convenience Center,24/7/2023,904.4,90
Citizen's Convenience Center,26/7/2023,580.4,58
Citizen's Convenience Center,9/8/2023,834.6,83
Citizen's Convenience Center,21/8/2023,817.4,82
Citizen's Convenience Center,28/8/2023,693.4,69
Citizen's Convenience Center,1/9/2023,591.6,59
Citizen's Convenience Center,5/9/2023,1257.4,126
Citizen's Convenience Center,18/9/2023,556.4,56
Citizen's Convenience Center,13/10/2023,614.6,61
Citizen's Convenience Center,25/10/2023,641.4,64
Citizen's Convenience Center,20/11/2023,823,82
Citizen's Convenience Center,8/12/2023,693.6,69
Citizen's Convenience Center,26/12/2023,1020,102
Citizen's Convenience Center,2/1/2024,1490.8,149
Citizen's Convenience Center,5/1/2024,615.6,62
Citizen's Convenience Center,19/1/2024,891,89
Mills Park,31/1/2024,0,0
Citizen's Convenience Center,7/2/2024,660.4,66
Citizen's Convenience Center,12/2/2024,1017.8,102
Mills Park,14/2/2024,432.8,43
Citizen's Convenience Center,21/2/2024,838.6,84
Mills Park,23/2/2024,449.8,45
Mills Park,28/2/2024,24.4,2
Citizen's Convenience Center,1/3/2024,698.6,70
Citizen's Convenience Center,4/3/2024,895.2,90
Citizen's Convenience Center,13/3/2024,571.2,57
Mills Park,15/3/2024,285.8,29
Citizen's Convenience Center,10/4/2024,805.4,81
Citizen's Convenience Center,12/4/2024,271.8,27
Mills Park,22/4/2024,534.8,53
Citizen's Convenience Center,26/4/2024,677.8,68
Citizen's Convenience Center,29/4/2024,1184.8,118
Mills Park,8/5/2024,430.8,43
Mills Park,10/5/2024,579.8,58
Citizen's Convenience Center,17/5/2024,108.4,11
Citizen's Convenience Center,19/6/2024,0,0
Citizen's Convenience Center,1/7/2024,970.2,97
Citizen's Convenience Center,5/7/2024,581.4,58
Mills Park,12/7/2024,371.6,37
Mills Park,15/7/2024,340.8,34
Citizen's Convenience Center,22/7/2024,1000.2,100
Mills Park,31/7/2024,315.8,32
Mills Park,9/8/2024,159.8,16
Citizen's Convenience Center,14/8/2024,621.2,62
Mills Park,16/8/2024,390.8,39
Citizen's Convenience Center,30/8/2024,826,83
Mills Park,13/9/2024,305.8,31
Mills Park,20/9/2024,255.8,26
Mills Park,25/9/2024,304.8,30
Citizen's Convenience Center,3/9/2024,1162.2,116
Citizen's Convenience Center,6/9/2024,601.6,60
Citizen's Convenience Center,11/9/2024,598.4,60
Citizen's Convenience Center,20/9/2024,487.6,49
Citizen's Convenience Center,30/10/2024,386.6,39
Citizen's Convenience Center,1/11/2024,867,87
Citizen's Convenience Center,4/11/2024,1162.8,116
Citizen's Convenience Center,26/11/2024,571.8,57
Citizen's Convenience Center,2/12/2024,1430.8,143
Citizen's Convenience Center,9/12/2024,1307.8,131
Citizen's Convenience Center,27/12/2024,570.4,57
Mills Park,11/11/2024,593.8,59
Mills Park,9/12/2024,691.8,69
