stop_name,date_collection_datetime,lbs_collected,compost_created_lbs,compost_efficiency,year,month,day_of_week,lbs_collected_normalized,compost_created_lbs_normalized
Citizen's Convenience Center,2022-02-11,197.0,20,0.10152284263959391,2022,2,4,-1.6278836492063198,-1.614504572077787
Citizen's Convenience Center,2022-04-01,431.8,43,0.09958314034275127,2022,4,4,-0.7152469216722138,-0.7205500724011674
Citizen's Convenience Center,2022-05-02,460.8,46,0.09982638888888888,2022,5,0,-0.6025277347110168,-0.6039473115737822
Citizen's Convenience Center,2022-05-04,462.8,46,0.09939498703543648,2022,5,2,-0.5947539976792101,-0.6039473115737822
Citizen's Convenience Center,2022-05-20,655.8,66,0.10064043915827997,2022,5,4,0.15541162589013563,0.17340442727545222
Citizen's Convenience Center,2022-06-08,352.8,35,0.0992063492063492,2022,6,2,-1.0223095344285782,-1.0314907679408611
Citizen's Convenience Center,2022-06-10,336.8,34,0.10095011876484561,2022,6,4,-1.0844994306830318,-1.0703583548833229
Citizen's Convenience Center,2022-06-13,770.8,77,0.09989621172807474,2022,6,0,0.6024015052190206,0.6009478836425312
Citizen's Convenience Center,2022-06-24,451.8,45,0.099601593625498,2022,6,4,-0.6375095513541469,-0.642814898516244
Citizen's Convenience Center,2022-07-06,453.8,45,0.0991626267078008,2022,7,2,-0.6297358143223403,-0.642814898516244
Citizen's Convenience Center,2022-07-11,650.8,65,0.09987707437000615,2022,7,0,0.1359772833106189,0.1345368403329905
Citizen's Convenience Center,2022-08-12,658.8,66,0.10018214936247724,2022,8,4,0.1670722314378457,0.17340442727545222
Citizen's Convenience Center,2022-08-31,511.8,51,0.09964830011723329,2022,8,2,-0.4042974403999461,-0.40960937686147364
Citizen's Convenience Center,2022-09-16,389.8,39,0.1000513083632632,2022,9,4,-0.8784953993401544,-0.8760204201710143
Citizen's Convenience Center,2022-09-19,716.2,72,0.10053057805082379,2022,9,0,0.3901784842506982,0.40660994893022256
Citizen's Convenience Center,2022-10-05,405.8,41,0.10103499260719566,2022,10,2,-0.8163055030857009,-0.7982852462860909
Citizen's Convenience Center,2022-10-24,465.6,47,0.10094501718213057,2022,10,0,-0.5838707658346807,-0.5650797246313205
Citizen's Convenience Center,2022-10-31,953.4,95,0.09964338158170757,2022,10,0,1.3121436962229718,1.3005644486068422
Citizen's Convenience Center,2022-11-02,574.8,57,0.09916492693110648,2022,11,2,-0.15942472389803547,-0.17640385520670332
Citizen's Convenience Center,2022-11-09,503.6,50,0.09928514694201747,2022,11,2,-0.4361697622303535,-0.44847696380393537
Citizen's Convenience Center,2022-12-21,724.4,72,0.09939260077305356,2022,12,2,0.42205080608110535,0.40660994893022256
Citizen's Convenience Center,2022-12-30,815.4,82,0.10056414029923964,2022,12,4,0.7757558410283099,0.7952858183548398
Citizen's Convenience Center,2023-01-03,730.4,73,0.09994523548740417,2023,1,1,0.4453720171765254,0.4454775358726843
Citizen's Convenience Center,2023-01-11,724.8,72,0.09933774834437087,2023,1,2,0.4236055534874666,0.40660994893022256
Citizen's Convenience Center,2023-01-20,752.4,75,0.09968102073365231,2023,1,4,0.5308831245263991,0.5232127097576077
Citizen's Convenience Center,2023-02-10,571.6,57,0.09972008397480756,2023,2,4,-0.1718627031489259,-0.17640385520670332
Citizen's Convenience Center,2023-03-03,300.4,30,0.09986684420772304,2023,3,4,-1.2259814446619137,-1.2258287026531698
Citizen's Convenience Center,2023-03-08,610.8,61,0.09986902423051736,2023,3,2,-0.019497457325514972,-0.020933507436856413
Citizen's Convenience Center,2023-03-13,779.4,78,0.10007698229407237,2023,3,0,0.6358285744557894,0.6398154705849929
Citizen's Convenience Center,2023-03-22,707.8,71,0.1003108222661769,2023,3,2,0.3575287887171097,0.36774236198776084
Citizen's Convenience Center,2023-04-10,874.6,87,0.0994740452778413,2023,4,0,1.0058584571697882,0.9896237530671484
Citizen's Convenience Center,2023-04-26,641.6,64,0.0997506234413965,2023,4,2,0.10021809296430838,0.09566925339052876
Citizen's Convenience Center,2023-05-03,668.4,67,0.1002393776181927,2023,5,2,0.2043861691905179,0.21227201421791392
Citizen's Convenience Center,2023-05-26,566.6,57,0.10060007059654076,2023,5,4,-0.19129704572844264,-0.17640385520670332
Citizen's Convenience Center,2023-05-30,991.4,99,0.0998587855557797,2023,5,1,1.459844699827299,1.456034796376689
Citizen's Convenience Center,2023-05-31,385.8,39,0.10108864696734059,2023,5,2,-0.8940428734037679,-0.8760204201710143
Citizen's Convenience Center,2023-06-14,528.8,53,0.10022692889561272,2023,6,2,-0.3382206756295894,-0.3318742029765502
Citizen's Convenience Center,2023-06-26,988.4,99,0.10016187778227438,2023,6,0,1.448184094279589,1.456034796376689
Citizen's Convenience Center,2023-07-05,491.6,49,0.09967453213995117,2023,7,2,-0.48281218442119367,-0.4873445507463971
Citizen's Convenience Center,2023-07-07,734.4,73,0.09940087145969499,2023,7,4,0.4609194912401388,0.4454775358726843
Citizen's Convenience Center,2023-07-10,1104.4,110,0.099601593625498,2023,7,0,1.8990608421243775,1.8835782527437681
Citizen's Convenience Center,2023-07-14,948.4,95,0.10016870518768452,2023,7,4,1.292709353643455,1.3005644486068422
Citizen's Convenience Center,2023-07-17,998.4,100,0.10016025641025642,2023,7,0,1.4870527794386224,1.4949023833191508
Citizen's Convenience Center,2023-08-11,584.8,58,0.09917920656634747,2023,8,4,-0.12055603873900199,-0.1375362682642416
Citizen's Convenience Center,2023-08-14,739.4,74,0.10008114687584528,2023,8,0,0.4803538338196555,0.484345122815146
Citizen's Convenience Center,2023-08-16,439.6,44,0.10009099181073702,2023,8,2,-0.6849293472481677,-0.6816824854587057
Citizen's Convenience Center,2023-09-06,542.4,54,0.09955752212389381,2023,9,2,-0.28535926381330384,-0.2930066160340885
Citizen's Convenience Center,2023-09-13,445.8,45,0.1009421265141319,2023,9,2,-0.660830762449567,-0.642814898516244
Citizen's Convenience Center,2023-09-25,557.4,56,0.1004664513814137,2023,9,0,-0.22705623607475361,-0.21527144214916502
Citizen's Convenience Center,2023-09-27,679.8,68,0.10002942041776994,2023,9,2,0.24869647027181596,0.25113960116037565
Citizen's Convenience Center,2023-10-11,531.4,53,0.09973654497553633,2023,10,2,-0.3281148174882406,-0.3318742029765502
Citizen's Convenience Center,2023-11-01,636.4,64,0.1005656819610308,2023,11,2,0.0800063766816108,0.09566925339052876
Citizen's Convenience Center,2023-11-03,612.6,61,0.09957557949722494,2023,11,4,-0.012501093996888682,-0.020933507436856413
Citizen's Convenience Center,2023-11-06,533.4,53,0.09936257967754031,2023,11,0,-0.32034108045643395,-0.3318742029765502
Citizen's Convenience Center,2023-11-27,1422.4,142,0.0998312710911136,2023,11,0,3.1350850301816418,3.127341034902543
Citizen's Convenience Center,2023-12-20,494.4,49,0.09911003236245955,2023,12,2,-0.47192895257666445,-0.4873445507463971
Citizen's Convenience Center,2023-12-22,959.2,96,0.1000834028356964,2023,12,4,1.3346875336152115,1.339432035549304
Citizen's Convenience Center,2023-12-29,1197.8,120,0.10018367006177993,2023,12,4,2.2620943615097495,2.2722541221683854
Citizen's Convenience Center,2024-01-31,636.4,64,0.1005656819610308,2024,1,2,0.0800063766816108,0.09566925339052876
